,mean_syllables_word,mean_words_sentence,n_sentences,n_words,sentence_similarity,track_id,vocabulary_wealth
0,-1.0,-1.0,-1,-1,-1.0,5KIfHjHI5NIsPHNt58qua0,-1.0
1,1.1,5.65,31,326,0.043010752688172046,13keyz9ikBe6ZpRasw7l4X,0.45
2,1.37,4.77,74,532,0.050351721584598295,1WugzepXsLjnsM0K4UaWYc,0.59
3,1.95,3.38,72,430,0.028560250391236306,2MO6oEAlMKcsfI8xP3yoy8,0.49
4,1.16,2.99,68,368,0.04784899034240562,1i4St7fmSUE9nB3R9n8fol,0.47
5,1.32,4.21,39,256,0.04048582995951417,3UyfvY3Gs6d4wvq8O4ANqQ,0.6
6,1.24,2.98,50,287,0.03836734693877551,2zhk0kypGeOPsaaZcjyc14,0.49
7,1.32,3.44,86,524,0.05006839945280438,3pjampEJWz0wJuiFYyzX0x,0.59
8,1.16,3.11,38,194,0.08392603129445235,3xBGFVU2b2PV556Q3ebsQH,0.58
9,1.86,2.94,34,187,0.0481283422459893,4JbTcgrkSwBieKJ8GInB02,0.62
10,1.4,3.53,53,320,0.05660377358490566,5wAhrduRLWFLI3stVpoMV2,0.52
11,1.13,2.95,43,212,0.06201550387596899,5uPWILEXkNy1D0MJzi9ByM,0.54
12,1.13,3.25,76,398,0.07649122807017544,6jRNplNtd8xT0sc4iUJyW5,0.36
13,1.18,3.88,48,306,0.06294326241134751,0x30gzRkbCTG1SvEEM31hG,0.42
14,2.09,5.52,23,226,0.07114624505928854,7rAeisif8xqpyYZa8amZXp,0.69
15,1.4,3.53,53,320,0.05660377358490566,4vV5HmDVShcevgnVS27ZyW,0.52
16,1.2,3.65,40,234,0.10128205128205128,0E4PLIdbUoo2jzKK9xQLPo,0.53
17,1.24,3.65,34,203,0.0106951871657754,28C4nmrd7BTu0XbOmaTHZr,0.72
18,1.36,5.04,85,574,0.0546218487394958,4BxfXnGbnlibcUUPKog7Ne,0.44
19,1.87,4.12,17,137,0.04411764705882353,24U7yMeIbDoIn8aZXtOj13,0.62
20,1.4,3.53,53,320,0.05660377358490566,3RRaovpybNKtnB6VrBGhoZ,0.52
21,2.1,3.46,39,212,0.07692307692307693,47s4XA6vlTpAR4idH3CZk4,0.66
22,1.39,4.46,41,326,0.03170731707317073,2tGSIjqZ23cTR4fYTc1MbX,0.64
23,1.43,3.59,80,554,0.04556962025316456,7HzMcKpsKOTWzLKsmEoeHR,0.54
24,1.94,4.18,40,239,0.08205128205128205,4NFqlsk3yQn7DULU8OGnfP,0.51
25,1.4,3.53,53,320,0.05660377358490566,1KhYtrS2fa04ApR9neYRm8,0.52
26,1.44,4.16,37,258,0.13363363363363365,7yF8EDwOVairwNdxhuzmYu,0.48
27,1.49,3.71,45,277,0.047474747474747475,0ZrRfFSH6kNp62zUXMDOlu,0.67
28,1.62,2.51,37,152,0.03903903903903904,4dH8jfyvkm18cgn0nPxSER,0.65
29,1.85,3.94,36,250,0.01746031746031746,0c7lU80Pi0d8cHh1qGnuqk,0.63
30,1.4,3.53,53,320,0.05660377358490566,4RXjmJrLbH9DNROHHaMbNc,0.52
31,4.0,0.5,2,1,0.0,3RjVq53SCGBJAn2N5pAml7,0.0
