,artist_popularity,followers,genres,id,name,track_id,track_name_prev,type
0,44,23230,"['sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']",4mGnpjhqgx4RUdsIJiURdo,Juliano Cezar,0wmDmAILuW9e2aRttkl4aC,track_9,artist
1,22,313,[],1dLnVku4VQUOLswwDFvRc9,The Grenadines,4wqwj0gA8qPZKLl5WVqXml,track_30,artist
2,26,1596,['danish pop rock'],6YVY310fjfUzKi8hiqR7iK,Gangway,1bFqWDbvHmZe2f4Nf9qaD8,track_38,artist
3,31,149,['uk alternative pop'],2VElyouiCfoYPDJluzwJwK,FADES,3MFSUBAidPzRBbIS7BDj1S,track_34,artist
4,21,11,['french baroque'],4agVy03qW8juSysCTUOuDI,Jean-Pierre Guignon,2r3q57FhxdsCyYr0kuDq4b,track_26,artist
5,43,81,[],38VBjthd0szbS6wpDMafrb,Filhos,453KeZU566kjNfs1IH4yHU,track_15,artist
6,34,8358,[],36mHwYa65L0WZbAXY2iSGw,Eloq,6hC5Tl0S5aQCw646JuN91w,track_43,artist
7,7,158,[],1jJyy00XfxjB4tMAv5OT0q,Fravær,5005eeCJ9KTFAAzh2NC9mr,track_48,artist
8,21,30,[],10A8WbBJ0zW8MnvTsUL6os,Camille Pépin,56fBsCXwpBnxe4JkF66gyF,track_73,artist
9,25,992,['classic finnish pop'],5ijoPCUhV0dW8EJ7aPGvXK,Pepe Willberg & The Paradise,6WVlVPoesX2zVvJzZJUj6a,track_8,artist
10,4,44,[],7dUWZW268V8qlsGxBojhWx,Marie Bergman & Lasse Englund,4AXl1EfaAgkZh8wH0VFv2Y,track_51,artist
11,53,373085,"['pagode', 'sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']",0ozdcqmICsOZDe7eJQVzrp,Rick & Renner,1x0nDKfYDed4qcRNWxOoZv,track_1,artist
12,21,1,[],0GUBxLwTer6gJZcLNwRjLj,Fiona McGown,56fBsCXwpBnxe4JkF66gyF,track_74,artist
13,11,115,[],60uB6JvZMMLXgSbD70ExeO,Silhuetit,2K9NF7Z0uw4Sy77NJfJolm,track_25,artist
14,16,498,[],4uQXIJKWCNEGuauecNDFCT,Pligten Kalder,6xQZaoYaK7doLFYt7S3tPF,track_52,artist
15,43,1029,[],2zYNTwc8lCUzPueFdmh8ta,BAER,7E0vigeBuAlLuaPaUoqYnd,track_1,artist
16,21,3,[],6m099EAiKxVRkm2Go2XvRS,Ensemble Polygones,56fBsCXwpBnxe4JkF66gyF,track_76,artist
17,46,30344,['abstract hip hop'],4sH7SLGP6BLOYDtcP6Lm47,P.O.S,5TXuAkgAYyowBQXM1bxiD1,track_3,artist
18,41,24922,"['sertanejo', 'sertanejo tradicional']",0wWNGmLoY3KEPBmaZ36EBu,Milionário & Marciano,2V68QXKzrgPDYOqMfwbp2X,track_7,artist
19,34,644,[],69APTdcqAgiLyRm7kqvRCX,Lydia Liza,5TXuAkgAYyowBQXM1bxiD1,track_9,artist
20,22,48,['classical cello'],3UpH11IocErqqk2szedYf5,Alain Meunier,49gL5NKIGb1C5o4dxbqcHv,track_79,artist
21,26,37,[],0FnRDFBAHFbthcoIt3jjoD,Hard_R,5TXuAkgAYyowBQXM1bxiD1,track_4,artist
