feature,mean_drop,std_drop
energy,0.017948351030378028,0.006450304144501685
speechiness,0.01675865301540755,0.0018093863252808828
acousticness,0.0065148611627717234,0.0025648462783526642
mean_syllables_word,0.004460181286619463,0.0016806299863469782
danceability,0.004207051295123712,0.0026308776533122726
valence,0.00420438803806015,0.001638693620709332
followers,0.003357104441942374,0.002238430786443019
n_sentences,0.0020529154938419255,0.0010401833148249357
sentence_similarity,0.0009984287138155717,0.0019124186983683416
tempo,0.000903766067911288,0.0010523865427152516
vocabulary_wealth,0.0006769456468068813,0.0013707541277890095
n_words,0.0005848029053220072,0.0017142089768681574
liveness,0.0003153125796219042,0.0010836599839740974
instrumentalness,-0.00016472064816172027,0.0008142018011751547
mean_words_sentence,-0.0006885816416674379,0.0015049001902811368
artist_popularity,-0.004172268489701206,0.00146643195747886
